"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Belize","BLZ","Population ages 65 and above, total","SP.POP.65UP.TO","3819","3958","4097","4241","4376","4509","4672","4825","4971","5107","5245","5432","5596","5758","5916","6080","6188","6289","6375","6439","6473","6583","6678","6755","6830","6898","7032","7182","7359","7544","7746","8013","8300","8624","8984","9368","9389","9426","9490","9574","9664","9768","9840","9877","9890","9866","10395","10970","11602","12324","13153","13633","14147","14692","15290","15942","16617","17345","18144","19000","19915","20898",
"Bermuda","BMU","Population ages 65 and above, total","SP.POP.65UP.TO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Population ages 65 and above, total","SP.POP.65UP.TO","165769","166680","167042","167017","166782","166455","168571","170598","172573","174530","176509","180681","184805","188926","193118","197427","203807","210325","216787","222925","228596","236827","245024","253390","262165","271494","280134","288937","298144","308066","318870","329548","340901","352632","364288","375630","388856","401985","415084","428228","441513","455714","470014","484829","500665","517863","535262","553758","573262","593596","614689","637569","660866","684685","709149","734374","761265","788635","816512","844904","873984","901216",
"Brazil","BRA","Population ages 65 and above, total","SP.POP.65UP.TO","2274016","2375110","2479626","2584474","2685354","2780334","2879334","2974485","3068523","3165050","3266681","3388608","3511604","3636475","3763905","3894175","4042747","4190662","4337413","4481392","4622119","4774427","4922578","5068953","5217391","5371564","5556044","5743088","5935230","6136539","6350158","6621851","6899681","7178458","7450408","7712265","8001762","8279757","8558083","8853204","9175089","9545668","9945711","10362428","10776051","11177826","11600894","12011084","12425104","12866239","13349254","13887044","14453960","15055724","15697744","16384411","17115012","17885123","18690608","19525474","20389282","21268241",
"Barbados","BRB","Population ages 65 and above, total","SP.POP.65UP.TO","15771","16013","16210","16404","16643","16973","17434","17991","18606","19209","19787","20419","21189","22165","23319","24511","25075","25539","25976","26385","26762","27028","27113","27072","26970","26825","26837","26826","26812","26812","26836","27281","27772","28284","28791","29289","29918","30562","31253","31991","32786","33138","33462","33773","34079","34403","34847","35314","35866","36539","37385","38104","38920","39836","40837","41902","42989","44111","45297","46586","47997","49450",
"Brunei Darussalam","BRN","Population ages 65 and above, total","SP.POP.65UP.TO","3169","3297","3408","3519","3638","3777","3895","4033","4195","4377","4569","4772","4966","5170","5393","5638","5709","5743","5727","5644","5468","5642","5802","5946","6088","6255","6394","6524","6639","6720","6756","6929","7105","7297","7522","7790","7814","7835","7869","7888","7890","8471","9039","9596","10164","10782","11399","11966","12451","12847","13174","13717","14333","15037","15883","16903","18054","19389","20904","22570","24368","26335",
"Bhutan","BTN","Population ages 65 and above, total","SP.POP.65UP.TO","5268","5423","5576","5720","5850","5968","6191","6405","6608","6805","6993","7270","7543","7812","8074","8341","8694","9047","9395","9739","10070","10502","10916","11325","11745","12187","12785","13403","14008","14555","15017","15777","16454","17106","17808","18636","19352","20199","21147","22142","23145","24231","25315","26399","27492","28584","29950","31287","32605","33916","35240","36561","37913","39267","40570","41804","43043","44174","45286","46495","47876","49384",
"Botswana","BWA","Population ages 65 and above, total","SP.POP.65UP.TO","21562","21777","21868","21918","22037","22267","22676","23133","23602","24027","24382","24783","25178","25555","25890","26161","26742","27435","28275","29269","30394","30895","31242","31571","32075","32844","34095","35815","37885","40081","42272","43787","45021","46062","46998","47826","48878","49932","51069","52275","53481","54251","54730","55120","55687","56586","58285","60301","62416","64335","65909","68991","71812","74601","77713","81363","85470","90118","95209","100577","106110","111596",
"Central African Republic","CAF","Population ages 65 and above, total","SP.POP.65UP.TO","75055","76193","77340","78436","79390","80164","81541","82741","83743","84505","85012","86417","87533","88433","89218","89955","91361","92753","94119","95438","96673","98522","100234","101751","103007","103976","105886","107365","108565","109720","110974","113126","115345","117511","119439","121008","123567","125529","126966","127950","128542","130466","131857","132701","132990","132716","134168","135093","135294","134516","132676","132934","132144","130654","128920","127202","128556","130141","131861","133567","135143","138596",
"Canada","CAN","Population ages 65 and above, total","SP.POP.65UP.TO","1378771","1407526","1434579","1462751","1493291","1525628","1558956","1595673","1633709","1670704","1710681","1782373","1821364","1862488","1911645","1968710","2034883","2103679","2171955","2239330","2311306","2381672","2448291","2510573","2577069","2650597","2724136","2812700","2905527","3014902","3115950","3200905","3279950","3354011","3428374","3503041","3575806","3649262","3718199","3785493","3855655","3931204","4003899","4070291","4144518","4229591","4321765","4419182","4532226","4663632","4812933","4962451","5139058","5333257","5536520","5731614","5941820","6155128","6387058","6635826","6886393","7097096",
