"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bahrain","BHR","Population ages 0-14, total","SP.POP.0014.TO","67072","71412","75491","79628","83879","87953","89002","90066","91392","93097","95254","96826","98034","99444","101751","105330","108366","112477","117104","121297","124427","127754","130720","133617","136880","140736","145469","150041","154612","158829","162120","165351","167285","168383","169237","170497","174157","177885","183107","190593","200319","202750","206202","211442","218873","228374","231846","237591","244226","249523","252039","260175","265255","269740","276233","286027","290718","296447","302185","307205","311089","315813",
"Bahamas, The","BHS","Population ages 0-14, total","SP.POP.0014.TO","46429","48842","51545","54498","57572","60616","63025","65259","67369","69426","71418","72058","73089","74329","75429","76272","77093","77285","77168","77267","77862","77911","78848","80258","81448","82087","83031","83098","82717","82597","83113","83427","84639","86271","87516","87923","88654","88480","87773","87246","87348","87496","88117","89080","90171","91312","92151","93331","94458","95201","95420","94993","93956","92505","91023","89772","88256","87322","86710","85982","84947","84529",
"Bosnia and Herzegovina","BIH","Population ages 0-14, total","SP.POP.0014.TO","1225443","1249206","1269968","1286346","1297824","1304166","1317286","1321243","1319069","1315795","1314314","1307525","1305858","1305741","1301773","1291595","1278885","1259740","1237194","1216661","1201151","1186054","1176085","1169273","1162109","1152706","1145227","1137237","1125917","1107465","1078368","1033819","981811","927487","878992","842974","817248","802501","794980","788036","776939","761428","739152","712830","687662","666534","643667","628234","616324","602029","583133","575948","561732","544352","530339","522688","505271","495883","490819","485041","476455","465720",
"Belarus","BLR","Population ages 0-14, total","SP.POP.0014.TO","2369415","2443144","2502430","2548927","2587330","2618806","2626603","2629233","2623491","2606870","2579766","2531465","2488227","2447867","2406895","2362800","2329323","2288186","2246860","2214141","2197454","2194319","2207933","2232873","2258313","2278265","2307788","2330820","2338165","2340856","2336436","2327661","2313681","2291341","2254828","2208568","2137868","2070126","2001658","1928167","1848790","1777526","1701848","1626949","1560995","1507385","1468790","1440000","1421530","1412857","1412685","1425552","1446463","1474473","1506054","1538708","1563787","1580397","1591940","1604780","1617137","1614330",
"Belize","BLZ","Population ages 0-14, total","SP.POP.0014.TO","41686","43473","45117","46713","48332","49981","51591","53270","54903","56368","57569","59088","60436","61597","62606","63490","64289","64915","65444","66102","67102","67869","69114","70714","72348","73846","75730","77404","78883","80259","81511","82713","83866","85054","86454","88281","90182","92452","95098","97947","100758","103089","105196","107075","108790","110404","111465","112453","113354","114154","114838","115181","115555","115848","115961","115867","116133","116128","115993","115951","116103","116468",
"Bermuda","BMU","Population ages 0-14, total","SP.POP.0014.TO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Population ages 0-14, total","SP.POP.0014.TO","1507690","1541250","1573066","1603688","1633567","1662954","1700858","1736881","1771854","1806662","1841761","1885360","1927979","1969982","2011435","2052236","2101722","2149270","2194869","2238230","2279052","2326967","2371029","2412669","2453767","2495457","2542747","2590516","2638201","2684486","2728649","2780172","2827213","2871205","2914159","2956987","3004878","3051508","3096331","3138308","3177025","3218340","3256686","3292111","3324560","3353780","3383814","3408819","3429852","3448512","3465712","3480012","3494266","3507204","3516847","3522332","3528357","3529623","3527823","3525918","3525599","3526568",
"Brazil","BRA","Population ages 0-14, total","SP.POP.0014.TO","31157132","32198543","33248710","34282642","35264393","36171508","37145262","37998320","38759213","39469827","40149099","40809882","41443302","42046821","42614824","43154716","43732472","44312159","44894826","45486349","46094176","46868661","47622817","48360947","49074188","49741939","50450078","51051452","51563041","52006092","52387547","52612861","52830908","53002942","53083587","53063540","53049113","52949285","52779667","52568794","52329021","52169699","51922410","51617298","51283173","50927581","50483959","50050596","49605067","49117316","48582701","48025330","47469180","46912941","46366981","45844250","45457971","45066347","44688335","44339802","44019351","43762970",
"Barbados","BRB","Population ages 0-14, total","SP.POP.0014.TO","87977","89099","90041","90826","91465","91928","91744","91211","90425","89555","88651","86182","84097","82127","79949","77544","76851","75814","74949","74722","75086","73202","71970","71048","69971","68619","67648","66296","64807","63556","62692","61778","61271","61033","60831","60558","60312","59989","59646","59378","59208","58449","57918","57528","57173","56820","56573","56304","56061","55876","55701","55086","54453","53762","52990","52165","51306","50491","49712","48938","48164","47618",
"Brunei Darussalam","BRN","Population ages 0-14, total","SP.POP.0014.TO","35551","37738","40186","42743","45194","47432","49308","50925","52398","53925","55648","57401","59404","61548","63600","65469","67974","70039","71866","73654","75467","77464","79535","81643","83693","85629","86127","86629","87316","88313","89629","91613","93561","95464","97173","98550","100031","101046","101677","102031","102138","102406","102343","102214","102019","101614","101829","101568","101160","100904","100886","100265","100158","100300","100300","99948","100261","99736","98774","97996","97664","96786",
